C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\hiphop\hiphop.00000.wav:['Looking For The Perfect Beat (Original Twelve-Inch Version)', 'Afrika Bambaataa', 'Planet Rock: The Album', 1986]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\hiphop\hiphop.00001.wav:['Triumph (Feat. Cappadonna)', 'Wu-Tang Clan', 'Wu-Tang Forever', 1999]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\hiphop\hiphop.00002.wav:['Buddy (With Jungle Brothers And Q-Tip From A Tribe Called Quest)', 'De La Soul', '3 Feet High And Rising (Bonus Cd)', 2001]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\hiphop\hiphop.00003.wav:['Friday', 'Ice Cube', 'In The Movies', 2007]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\hiphop\hiphop.00004.wav:['De La Soul - All Good Ft. Chaka Khan', 'De Maxx Long Player (CD Series)', 'Vol. 01', 2001]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\hiphop\hiphop.00006.wav:['You Can Do It (Feat. Mack 10 & Ms. Toi)', 'Ice Cube', 'War & Peace, Vol. 2 (The Peace Disc)', 2000]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\hiphop\hiphop.00007.wav:['Gravel Pit (Additional Vocals By Paulissa Moorman)', 'Wu-Tang Clan', 'The W', 2000]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\hiphop\hiphop.00008.wav:['Slow And Low', 'Beastie Boys', 'The Sounds Of Science', 1999]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\hiphop\hiphop.00009.wav:['Shake Your Rump', 'Beastie Boys', 'Paul`s Boutique', 1989]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\hiphop\hiphop.00010.wav:['The Skills To Pay The Bills (Original Version)', 'Beastie Boys', 'Check Your Head (Remastered Deluxe Edition)', 2009]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\hiphop\hiphop.00011.wav:['Root Down', 'Beastie Boys', 'Ill Communication', 1994]
