C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00000.wav:['Saturate Me', 'Mandy Moore', 'Mandy Moore', 2001]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00001.wav:['Wasting My Time', 'Spice Girls', 'Forever', 2000]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00002.wav:['My All (Classic Club Mix)', 'Mariah Carey', 'My All', 1998]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00003.wav:['Hand In My Pocket', 'Alanis Morissette', 'Jagged Little Pill', 1995]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00004.wav:['Head Over Feet', 'Alanis Morissette', 'Jagged Little Pill', 1995]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00005.wav:['Alanis Morissette - Ironic', 'Various - Pop Music (Germany)', 'Platin-Das Album Der Megastars', 2007]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00007.wav:['Uninvited', 'Alanis Morissette', 'The Collection', 2005]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00008.wav:['You Learn', 'Alanis Morissette', 'Jagged Little Pill', 1995]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00009.wav:['You Oughta Know', 'Alanis Morissette', 'Jagged Little Pill', 1995]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00010.wav:['Robert Downey Jr., Sting - Every Breath You Take', 'Vonda Shepard', 'Ally McBeal: For Once In My Life', 2001]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00011.wav:['The Prayer (With Celine Dion)', 'Andrea Bocelli', 'Sogno', 1999]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00013.wav:['Every Time I Close My Eyes', 'Babyface', 'The Day', 1996]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00015.wav:['(You Drive Me) Crazy', 'Britney Spears', 'Glory (Japan Tour Edition)', 2017]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00016.wav:['(I Can`t Get No) Satisfaction', 'Britney Spears', 'Oops!...i Did It Again', 2000]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00018.wav:['Autumn Goodbye', 'Britney Spears', '...Baby One More Time', 1999]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00019.wav:['Baby One More Time', 'Britney Spears', '...Baby One More Time', 1999]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00020.wav:['Can`t Make You Love You', 'Britney Spears', 'Oops!...i Did It Again', 2000]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00022.wav:['(You Drive Me) Crazy', 'Britney Spears', 'Glory (Japan Tour Edition)', 2017]
C:\Users\Wyndham\Desktop\Fall2019\CS6220\project\data\pop\pop.00023.wav:['I`m So Curious', 'Britney Spears', 'Sometimes', 1999]
